2020-03-19 20:34:27 startup archives install
2020-03-19 20:34:27 install base-passwd:amd64 <none> 3.5.45
2020-03-19 20:34:27 status half-installed base-passwd:amd64 3.5.45
2020-03-19 20:34:27 status unpacked base-passwd:amd64 3.5.45
2020-03-19 20:34:27 status unpacked base-passwd:amd64 3.5.45
2020-03-19 20:34:27 configure base-passwd:amd64 3.5.45 3.5.45
2020-03-19 20:34:27 status unpacked base-passwd:amd64 3.5.45
2020-03-19 20:34:27 status half-configured base-passwd:amd64 3.5.45
2020-03-19 20:34:27 status installed base-passwd:amd64 3.5.45
2020-03-19 20:34:27 startup archives install
2020-03-19 20:34:27 install base-files:amd64 <none> 10.1ubuntu7
2020-03-19 20:34:27 status half-installed base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 configure base-files:amd64 10.1ubuntu7 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:27 status half-configured base-files:amd64 10.1ubuntu7
2020-03-19 20:34:28 status installed base-files:amd64 10.1ubuntu7
2020-03-19 20:34:28 startup archives install
2020-03-19 20:34:28 upgrade dpkg 1.19.0.5ubuntu5 1.19.0.5ubuntu5
2020-03-19 20:34:28 status half-configured dpkg 1.19.0.5ubuntu5
2020-03-19 20:34:28 status unpacked dpkg 1.19.0.5ubuntu5
2020-03-19 20:34:28 status half-installed dpkg 1.19.0.5ubuntu5
2020-03-19 20:34:28 status half-installed dpkg 1.19.0.5ubuntu5
2020-03-19 20:34:28 status unpacked dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:28 status unpacked dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:28 configure dpkg:amd64 1.19.0.5ubuntu5 1.19.0.5ubuntu5
2020-03-19 20:34:28 status unpacked dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:28 status unpacked dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:28 status unpacked dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:28 status unpacked dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:28 status unpacked dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:28 status unpacked dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:28 status half-configured dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:28 status installed dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:28 startup archives install
2020-03-19 20:34:28 install libc6:amd64 <none> 2.28-0ubuntu1
2020-03-19 20:34:28 status half-installed libc6:amd64 2.28-0ubuntu1
2020-03-19 20:34:29 status unpacked libc6:amd64 2.28-0ubuntu1
2020-03-19 20:34:29 status unpacked libc6:amd64 2.28-0ubuntu1
2020-03-19 20:34:29 configure libc6:amd64 2.28-0ubuntu1 2.28-0ubuntu1
2020-03-19 20:34:29 status unpacked libc6:amd64 2.28-0ubuntu1
2020-03-19 20:34:29 status unpacked libc6:amd64 2.28-0ubuntu1
2020-03-19 20:34:29 status half-configured libc6:amd64 2.28-0ubuntu1
2020-03-19 20:34:29 status installed libc6:amd64 2.28-0ubuntu1
2020-03-19 20:34:29 startup archives install
2020-03-19 20:34:29 install perl-base:amd64 <none> 5.26.2-7
2020-03-19 20:34:29 status half-installed perl-base:amd64 5.26.2-7
2020-03-19 20:34:29 status unpacked perl-base:amd64 5.26.2-7
2020-03-19 20:34:29 status unpacked perl-base:amd64 5.26.2-7
2020-03-19 20:34:29 configure perl-base:amd64 5.26.2-7 5.26.2-7
2020-03-19 20:34:29 status unpacked perl-base:amd64 5.26.2-7
2020-03-19 20:34:29 status half-configured perl-base:amd64 5.26.2-7
2020-03-19 20:34:29 status installed perl-base:amd64 5.26.2-7
2020-03-19 20:34:29 startup archives install
2020-03-19 20:34:29 install mawk:amd64 <none> 1.3.3-17ubuntu3
2020-03-19 20:34:29 status half-installed mawk:amd64 1.3.3-17ubuntu3
2020-03-19 20:34:29 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-03-19 20:34:29 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-03-19 20:34:29 configure mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
